方案,日期,计划购电费_元,紧急购电费_元,总费用_元,计划购电_kWh,紧急购电_kWh,富余电量_kWh,日初储电_kWh,日末储电_kWh
risk,2025-02-01,45559.08519011554,264.5953571114586,45823.680547227,68641.07740004666,111.30350325193311,30668.105130787433,10691.657650070038,10424.33006036437
risk,2025-02-02,48405.80671098861,83188.9694604811,131594.7761714697,73847.31787197725,17027.62561333506,16643.506821967207,10424.33006036437,2752.659184801329
risk,2025-02-03,84195.06136807367,2391.9065064925353,86586.96787456621,119667.29590960853,624.7971432250266,28334.14903071443,2752.659184801329,10376.235803439728
risk,2025-02-04,81410.3053778332,6131.70786380162,87542.01324163482,112537.99749353642,1381.1185120543187,27847.846540943345,10376.235803439728,10681.01535736746
risk,2025-02-05,80892.92815359209,4269.3667358571565,85162.29488944924,111005.90372261008,1474.770312220667,27555.890302857668,10681.01535736746,10272.521215259338
risk,2025-02-06,81504.83087305941,1664.4203811535408,83169.25125421296,112770.08513283663,368.6300208811271,27768.047950000466,10272.521215259338,10731.72990717695
risk,2025-02-07,76269.2736055828,1251.853754677937,77521.12736026074,104424.82404466176,250.62640579589748,68481.25672465512,10731.72990717695,10688.987345413481
risk,2025-02-08,41705.92608211345,1341.6386317014071,43047.564713814856,62419.26241987768,500.36011734246404,27654.77125704143,10688.987345413481,10326.905395952619
risk,2025-02-09,45899.06874542116,90954.55215192377,136853.62089734492,69940.1882755582,18796.384108270973,14075.862371081254,10326.905395952619,2413.4826209721346
risk,2025-02-10,86328.98578461379,894.1316612052224,87223.117445819,123557.43673061216,238.82754880189106,37142.601679801825,2413.4826209721346,10555.448281187078
risk,2025-02-11,77763.54480489323,3672.480723657942,81436.02552855117,108098.53998717836,832.9106184199951,28739.549870947965,10555.448281187078,10800.0
risk,2025-02-12,75539.41695273618,4344.371656008674,79883.78860874486,103626.49134863967,1493.6577051213208,26324.15739801235,10800.0,9940.724804004778
risk,2025-02-13,78231.25859461527,892.9504047322887,79124.20899934755,107981.80368080141,385.87834180697996,31680.077603307,9940.724804004778,10800.0
risk,2025-02-14,69822.92154588347,55.70603998706212,69878.62758587053,95841.61600816422,25.194952504324796,62147.67792358831,10800.0,10634.428187775962
risk,2025-02-15,40787.97234310563,524.4184731272913,41312.390816232924,61847.19838226889,221.85552547357514,29356.690893062183,10634.428187775962,10342.159291169084
risk,2025-02-16,44206.9049602241,85866.45263676948,130073.35759699358,67590.66077048295,17927.742078684965,14930.308426946514,10342.159291169084,2511.579065060364
risk,2025-02-17,82221.41465593182,1889.42152131568,84110.8361772475,117919.44756159396,428.1849337715452,35019.338537935575,2511.579065060364,10464.595624324333
risk,2025-02-18,75281.16955566597,4004.923807626023,79286.09336329199,105201.13161966226,848.9956477454712,29082.85338517336,10464.595624324333,10800.0
risk,2025-02-19,74122.47017802816,5079.629365805747,79202.0995438339,103269.32627377294,1395.4425546915822,28014.80432105241,10800.0,9998.459043398336
