policy,date,normal_cost,emergency_cost,total_cost,emergency_kwh,start_kwh,end_kwh
main,2025-02-01,21663.2191089926,2.599921966606189e-11,21663.219108992624,4.733102798581967e-12,10800.0,2653.3191112171125
main,2025-02-02,55924.455306482574,1393.9915964952247,57318.4469029778,205.01394690262413,2653.3191112171125,1388.5030961757632
main,2025-02-03,56749.436471018256,4.890973775745384e-11,56749.43647101831,9.28026535826354e-12,1388.5030961757632,2041.177384840755
main,2025-02-04,55187.48920333377,2.7583003880948808e-11,55187.4892033338,5.730527163905208e-12,2041.177384840755,1734.6867467337345
main,2025-02-05,56415.31232931513,59.605905720973226,56474.9182350361,10.26184139123417,1734.6867467337345,1649.860137505111
main,2025-02-06,56511.50954282402,126.66871353040172,56638.17825635442,21.68786587422015,1649.860137505111,1552.5543711329
main,2025-02-07,25125.06130867947,2.6780654138747195e-11,25125.061308679495,5.144329406903125e-12,1552.5543711329,2421.9831374636615
main,2025-02-08,22769.22053812016,2.583320535265443e-11,22769.220538120186,5.312195128226449e-12,2421.9831374636615,1886.2344570622338
main,2025-02-09,52975.24316472292,1176.7589114660332,54152.00207618895,179.1412853458797,1886.2344570622338,1345.7717538914133
main,2025-02-10,54669.98791108889,2.408863242209236e-11,54669.98791108891,4.928946140125845e-12,1345.7717538914133,1393.6475525582755
main,2025-02-11,54722.43995578607,186.8779041656114,54909.317859951676,39.07609482689111,1393.6475525582755,1567.735811653653
main,2025-02-12,51904.24377938587,304.67375428146113,52208.91753366733,50.41272979320901,1567.735811653653,1431.9444842204045
main,2025-02-13,52548.13532551492,3.29962801248751e-11,52548.13532551496,7.1998518258453714e-12,1431.9444842204045,1571.1964280455031
main,2025-02-14,20284.41430135705,3.287837824217377e-11,20284.414301357083,6.6919803032305936e-12,1571.1964280455031,1901.2406227228141
main,2025-02-15,20957.867653211775,2.0304655734548762e-11,20957.867653211797,3.709033080667723e-12,1901.2406227228141,1718.1787638534308
main,2025-02-16,50548.92774740441,1168.3380352148667,51717.26578261927,182.18795403459941,1718.1787638534308,1368.6873119385305
main,2025-02-17,51011.04604186438,3.0820741736548033e-11,51011.04604186441,6.0174087934683484e-12,1368.6873119385305,1407.7853597748358
main,2025-02-18,50090.34855587169,4.577422646074463,50094.92597851777,0.9772465085557072,1407.7853597748358,1782.2592913169678
main,2025-02-19,49519.24454251551,195.39386337022782,49714.63840588574,44.61556419002786,1782.2592913169678,1238.0441881287986
main,2025-02-20,50431.96709561254,138.8287090381871,50570.79580465073,29.63892165631585,1238.0441881287986,1517.7752394470815
main,2025-02-21,19462.79179042059,1.4488928057332371e-11,19462.791790420604,2.5123236824242667e-12,1517.7752394470815,1744.6599587914423
main,2025-02-22,19117.492463851442,193.88671919140808,19311.37918304285,31.717114214201676,1744.6599587914423,1713.1008310453149
main,2025-02-23,50239.09276182845,22.848511617369095,50261.94127344582,4.877991378601099,1713.1008310453149,1401.1802440652116
main,2025-02-24,48065.24601789095,668.6158871890387,48733.86190507999,119.48200706278405,1401.1802440652116,1404.5342875406564
main,2025-02-25,49080.26470844066,346.0953215711751,49426.36003001184,77.23518443151401,1404.5342875406564,2045.1221749019087
main,2025-02-26,47275.47755494263,642.2589983143351,47917.73655325696,106.81206247099657,2045.1221749019087,1681.1045483045093
main,2025-02-27,47110.568148141305,269.1562591702948,47379.7244073116,55.157222015718354,1681.1045483045093,1866.177757131025
main,2025-02-28,18326.752131655023,2.7187358142555242e-11,18326.75213165505,4.725109192804666e-12,1866.177757131025,1991.8103146682374
main,2025-03-01,19259.28649025791,2.3038341900871727e-11,19259.28649025793,4.293454480830405e-12,1991.8103146682374,1947.6997226522203
main,2025-03-02,47818.566246735245,8562.488865186839,56381.05511192208,1577.8492084605587,1947.6997226522203,1258.94528527055
main,2025-03-03,46061.56383997173,12269.927435191348,58331.491275163076,2469.590167756885,1258.94528527055,1435.0316668633363
