策略,日期,计划费用_元,紧急费用_元,总费用_元,紧急电量_kWh,日初电量_kWh,日末电量_kWh
main,2025-02-01,23162.67895921615,2.998143289190125e-11,23162.678959216173,5.893063814710331e-12,10800.0,10800.0
main,2025-02-02,56593.958508311036,1393.9915964952293,57987.95010480627,205.01394690262592,10800.0,10800.0
main,2025-02-03,55241.52401164731,337.8068014343486,55579.33081308166,48.42414011387262,10800.0,10800.0
main,2025-02-04,53930.255364369616,5583.097109272819,59513.35247364244,1023.0657130672209,10800.0,10760.37401811227
main,2025-02-05,54282.22576117804,3085.6146626865193,57367.84042386456,601.5855973514113,10760.37401811227,10774.664253505598
main,2025-02-06,54526.866274861764,308.2772564541971,54835.14353131595,53.08391576903706,10774.664253505598,10736.106071951157
main,2025-02-07,22278.820613219737,2.0182350013442374e-11,22278.82061321976,4.273914555597003e-12,10736.106071951157,10800.0
main,2025-02-08,20136.146742714976,1325.1797568870493,21461.326499602026,227.61323369822975,10800.0,10800.0
main,2025-02-09,51246.256021415684,8788.142764062366,60034.39878547805,1755.5132987603643,10800.0,10740.241742152255
main,2025-02-10,52887.354097419164,323.86834980775075,53211.222447226915,71.24836805496174,10740.241742152255,10734.880225411369
main,2025-02-11,52207.56305248135,1176.2116192269311,53383.77467170828,207.14066836203926,10734.880225411369,10800.0
main,2025-02-12,49513.11633318415,4440.257723894376,53953.37405707854,858.5410430930368,10800.0,10755.988737551592
main,2025-02-13,50286.12965718528,456.3294522826599,50742.45910946794,78.90420319830449,10755.988737551592,10767.428245645968
main,2025-02-14,18928.639671368015,650.8524411776252,19579.492112545642,106.47021776175964,10767.428245645968,10800.0
main,2025-02-15,19099.898558937988,1084.7403546169016,20184.63891355489,187.29052704513282,10800.0,10772.142599523779
main,2025-02-16,48765.8592169215,5633.393759989063,54399.25297691056,1086.1765734095754,10772.142599523779,10675.770765607956
main,2025-02-17,48750.25466921923,417.61032448586,49167.8649937051,62.51958543393414,10675.770765607956,10756.112712451824
main,2025-02-18,48025.592194333934,592.5033263875064,48618.09552072146,95.53222714152145,10756.112712451824,10800.0
main,2025-02-19,47666.185061188415,5895.3540447861205,53561.539105974545,1213.5089123884277,10800.0,10657.772546845541
main,2025-02-20,47801.44490463495,1322.4722270613602,49123.917131696304,240.00105362682226,10657.772546845541,10776.563560589515
main,2025-02-21,18157.850770796467,104.36943746128506,18262.22020825775,19.07078312546533,10776.563560589515,10800.0
main,2025-02-22,18093.62705658948,1211.8631038526057,19305.49016044209,205.47669120944903,10800.0,10800.0
main,2025-02-23,48674.12070740531,410.8743650149836,49084.995072420286,64.75331066430785,10800.0,10728.339977238915
main,2025-02-24,46369.13221084648,2331.7893703721256,48700.9215812186,475.791044717752,10728.339977238915,10780.546846254727
main,2025-02-25,46974.288811216386,400.9860320934198,47375.27484330981,89.7438276242995,10780.546846254727,10800.0
main,2025-02-26,44957.90341268896,3833.754311209933,48791.65772389889,821.8412264511093,10800.0,10800.0
main,2025-02-27,44857.78618230753,3734.0545262033215,48591.84070851084,754.7970242229774,10800.0,10800.0
main,2025-02-28,17895.843667027955,3.1038076109268786e-11,17895.843667027988,6.183942247162122e-12,10800.0,10800.0
main,2025-03-01,17814.95719059471,3.2187534693139955e-11,17814.95719059474,7.016054404118677e-12,10800.0,10800.0
main,2025-03-02,46161.33146882143,12367.102658560721,58528.43412738215,2355.7133824657717,10800.0,10697.113380216068
main,2025-03-03,44222.99556103295,21179.6591121292,65402.65467316215,4300.685482602274,10697.113380216068,10761.811442000999
main,2025-03-04,47780.78451318425,2.809039534312774e-11,47780.78451318428,6.355360682164246e-12,10761.811442000999,10800.0
main,2025-03-05,45996.14554108243,67.36906347977643,46063.51460456221,13.066947618155078,10800.0,10800.0
main,2025-03-06,46072.318520928544,5.461669072559516e-11,46072.3185209286,1.1593392912345735e-11,10800.0,10800.0
main,2025-03-07,17650.470797968206,3.148178517875522e-11,17650.47079796824,8.587797140080511e-12,10800.0,10800.0
main,2025-03-08,16595.02207879404,1131.5815290029336,17726.603607796977,353.5370639512244,10800.0,10800.0
main,2025-03-09,43233.156405501606,1563.2567998752475,44796.413205376855,298.54632381424483,10800.0,10741.80895268098
main,2025-03-10,42691.30119922973,9457.11210245335,52148.413301683075,1706.0755370847726,10741.80895268098,10754.424471441225
main,2025-03-11,45002.895939031485,4.717452900537821e-11,45002.895939031536,1.0420664331434182e-11,10754.424471441225,10800.0
main,2025-03-12,43742.24571007279,1442.7310818005822,45184.97679187338,228.53017102503222,10800.0,10789.933481279146
main,2025-03-13,41522.23824239372,18019.642818242042,59541.881060635766,3093.1259850500414,10789.933481279146,10800.0
main,2025-03-14,16588.96004081032,3.3976114588440967e-11,16588.960040810354,9.128864331131581e-12,10800.0,10800.0
main,2025-03-15,16535.890751943585,230.35661622521033,16766.24736816879,48.28124019439732,10800.0,10735.723371365428
main,2025-03-16,42577.07883939627,7.461180000054374,42584.54001939633,1.6400000000130772,10735.723371365428,10651.922426438194
main,2025-03-17,45191.94232081995,3.651037738805485e-11,45191.94232081998,7.070788399232697e-12,10651.922426438194,10800.0
main,2025-03-18,43924.79201757563,3.101060475074746e-11,43924.792017575666,6.139089236967266e-12,10800.0,10800.0
main,2025-03-19,41445.77601791198,833.234412550607,42279.01043046259,173.70166936438707,10800.0,10800.0
main,2025-03-20,43488.85137581065,492.3015113501685,43981.15288716082,70.94584474380856,10800.0,10800.0
main,2025-03-21,16078.279352828555,2.7048261852513633e-11,16078.279352828582,7.2677419638012e-12,10800.0,10800.0
main,2025-03-22,16176.438089371317,2.9690263581017006e-11,16176.438089371348,6.3362648461406934e-12,10800.0,10800.0
main,2025-03-23,40344.638358428005,2573.218048661509,42917.856407089515,496.50656421049115,10800.0,10800.0
main,2025-03-24,40313.528533446246,3.0204016510104733e-11,40313.528533446275,6.238787264578605e-12,10800.0,10800.0
main,2025-03-25,38251.87363685008,7939.601734952266,46191.47537180234,1514.9896930352288,10800.0,10766.34567104303
main,2025-03-26,38356.131671410585,3.797483222323095e-11,38356.13167141063,1.0433987007729684e-11,10766.34567104303,10800.0
main,2025-03-27,40478.17253208372,3.712808216427277e-11,40478.17253208376,8.037570609076283e-12,10800.0,10800.0
main,2025-03-28,15509.290180394497,1.745947408871018e-11,15509.290180394515,5.1589843508281774e-12,10800.0,10800.0
main,2025-03-29,15183.665030379167,310.6676523984709,15494.332682777638,52.58491600102129,10800.0,10800.0
main,2025-03-30,38783.64594820932,2.964498291291307e-11,38783.64594820934,8.5096374391469e-12,10800.0,10800.0
main,2025-03-31,36337.0231054537,4052.60353665163,40389.62664210533,732.0578354621772,10800.0,10800.0
main,2025-04-01,36489.67677246301,18965.829946302118,55455.50671876513,3006.4824117840344,10800.0,10800.0
main,2025-04-02,37165.20675613053,12425.409392305111,49590.61614843564,2337.7951296189003,10800.0,10800.0
main,2025-04-03,36574.4973833513,2588.890055908363,39163.38743925966,483.4012203750974,10800.0,10771.17801481101
main,2025-04-04,15061.44634536988,2.0399927302960918e-11,15061.446345369903,4.9609205632350495e-12,10771.17801481101,10800.0
main,2025-04-05,14535.909508710962,656.3518629278859,15192.26137163885,139.05838305804434,10800.0,10758.171688535327
main,2025-04-06,36214.139096811916,291.2406236755604,36505.37972048748,56.16110984036937,10758.171688535327,10788.44803810045
main,2025-04-07,36338.62406547459,3.775543311324015e-11,36338.62406547463,8.862910405582625e-12,10788.44803810045,10800.0
main,2025-04-08,38400.66935320108,1489.1455573820033,39889.81491058308,254.0056097168134,10800.0,10800.0
main,2025-04-09,39114.62654737884,263.70742385337496,39378.33397123221,66.18064150432834,10800.0,10800.0
main,2025-04-10,39576.65774724741,3.150956534581084e-11,39576.65774724744,6.280864717211898e-12,10800.0,10800.0
main,2025-04-11,15415.1832949374,2.2534750510061487e-11,15415.18329493742,5.3654858334084565e-12,10800.0,10800.0
main,2025-04-12,14435.561241649619,2.5263666714181455e-11,14435.561241649644,6.192379942149273e-12,10800.0,10800.0
main,2025-04-13,36039.556735611295,1505.2286515366382,37544.78538714793,261.22134604400617,10800.0,10800.0
main,2025-04-14,35445.28329101969,271.0934894144678,35716.37678043416,38.886806887874485,10800.0,10794.755186833321
main,2025-04-15,36031.494241767476,217.02321610896323,36248.51745787644,50.988010764490724,10794.755186833321,10800.0
main,2025-04-16,35182.523073846416,1561.6737462287588,36744.19682007517,331.6244652012677,10800.0,10751.880727696243
main,2025-04-17,34489.84225248789,1313.7581605103264,35803.60041299822,193.8457916781604,10751.880727696243,10800.0
main,2025-04-18,14093.20722258608,2.4656952257728903e-11,14093.207222586105,5.455635943008019e-12,10800.0,10800.0
main,2025-04-19,14110.18043424958,1.4322136754341132e-11,14110.180434249594,3.954503391412345e-12,10800.0,10800.0
main,2025-04-20,34422.69829044625,3.926411928922846e-11,34422.698290446286,8.975487020279616e-12,10800.0,10800.0
main,2025-04-21,34120.59924418881,321.1334647302228,34441.73270891903,61.337029822864615,10800.0,10741.19097082291
main,2025-04-22,34688.62136370182,85.70866440892677,34774.33002811075,23.456120527893063,10741.19097082291,10800.0
main,2025-04-23,35740.516820358716,3.475324104884603e-11,35740.51682035876,8.333139733807116e-12,10800.0,10800.0
main,2025-04-24,33753.00369471348,3.823818195414219e-11,33753.003694713516,8.712142118838528e-12,10800.0,10800.0
main,2025-04-25,12994.147670795623,102.53355973452399,13096.681230530145,21.081647349801127,10800.0,10730.593945760706
main,2025-04-26,12807.613427522287,2226.8695631229007,15034.482990645187,453.635786149631,10730.593945760706,10715.917216271691
main,2025-04-27,32122.64183737137,4715.826235201055,36838.46807257243,910.3698919660701,10715.917216271691,10741.72600541333
main,2025-04-28,31853.05672632863,39543.91630280588,71396.9730291345,6336.735392538254,10741.72600541333,10800.0
main,2025-04-29,35524.7865141916,14.821072173964454,35539.607586365564,2.1245803001687817,10800.0,10800.0
main,2025-04-30,33798.30073604586,207.74101661059916,34006.041752656456,44.91809011866842,10800.0,10790.458786939036
main,2025-05-01,32070.99393550024,13457.750694752647,45528.744630252884,2241.5390589117364,10790.458786939036,10240.865631907152
main,2025-05-02,13612.639731278548,12354.603208720178,25967.24293999873,2220.663534676527,10240.865631907152,10437.648156260864
main,2025-05-03,13794.082741345243,8751.604329386853,22545.687070732096,1598.8572477673667,10437.648156260864,10622.755275927768
main,2025-05-04,33571.576122159575,11318.111408931189,44889.68753109076,1856.2238907546969,10622.755275927768,10390.053890668787
main,2025-05-05,36728.143549699744,3140.443086563282,39868.58663626302,498.84945534295144,10390.053890668787,10769.448157047855
main,2025-05-06,37547.66508109069,658.29974111161,38205.964822202295,115.5899983410112,10769.448157047855,10561.394874873531
main,2025-05-07,39083.1418793247,3.2707084818284213e-11,39083.14187932473,6.671996288787341e-12,10561.394874873531,10800.0
main,2025-05-08,39520.703463397476,243.2289326250296,39763.9323960225,35.99925000000657,10800.0,10800.0
main,2025-05-09,19938.470635502505,1.709658903337186e-11,19938.470635502523,3.7694292132073315e-12,10800.0,10800.0
main,2025-05-10,15892.097102351432,2.940187215916268e-11,15892.097102351461,7.510658761589184e-12,10800.0,10800.0
main,2025-05-11,37227.48957533995,277.3610394583805,37504.85061479832,41.18071666667744,10800.0,10800.0
main,2025-05-12,39744.933090008366,2.805097043534488e-11,39744.933090008395,5.707434524993005e-12,10800.0,10800.0
main,2025-05-13,38974.21963534794,2.3144975713762505e-11,38974.21963534796,4.305888978706207e-12,10800.0,10800.0
main,2025-05-14,38191.72668957949,1.8596282430616283e-11,38191.72668957952,4.575173573329039e-12,10800.0,10800.0
main,2025-05-15,38241.2253792762,3.5289760086376635e-11,38241.225379276235,7.92227394796896e-12,10800.0,10800.0
main,2025-05-16,15516.575320483622,1.919998382504673e-11,15516.575320483642,5.137223979545524e-12,10800.0,10800.0
main,2025-05-17,16608.530063597565,2.5531292607849916e-11,16608.530063597587,7.109382527126229e-12,10800.0,10800.0
main,2025-05-18,39137.25518951898,2.8270637261740282e-11,39137.25518951902,8.239936510889834e-12,10800.0,10800.0
main,2025-05-19,38356.988443987066,428.0680453866415,38785.05648937371,63.46920385301347,10800.0,10800.0
main,2025-05-20,37401.74796215775,2.0576046644293907e-11,37401.747962157766,4.4284576006248244e-12,10800.0,10800.0
main,2025-05-21,38375.07194510575,2.7347341946537538e-11,38375.071945105774,5.909606137777246e-12,10800.0,10800.0
main,2025-05-22,38066.79975052581,8.469691588241336,38075.26944211405,1.25579236240683,10800.0,10800.0
main,2025-05-23,17836.3142834994,2.315398034413718e-11,17836.31428349942,4.749201032439032e-12,10800.0,10800.0
main,2025-05-24,16828.118684449903,2.184692753093298e-11,16828.118684449924,6.036421362765054e-12,10800.0,10800.0
main,2025-05-25,38603.28916117927,2.7390917700653717e-11,38603.2891611793,6.888822845496634e-12,10800.0,10800.0
main,2025-05-26,38781.58231298831,2.3600306153781503e-11,38781.58231298832,5.374367617605458e-12,10800.0,10800.0
main,2025-05-27,35283.72444802287,3.744512611092432e-11,35283.724448022906,9.282796753495859e-12,10800.0,10800.0
main,2025-05-28,36329.71579929765,3.8944982849731246e-11,36329.715799297686,9.017342428307984e-12,10800.0,10800.0
main,2025-05-29,35569.979806177376,2439.756029830958,38009.73583600834,400.7670943889573,10800.0,10800.0
main,2025-05-30,16049.411450455635,3.2361443746964364e-11,16049.411450455666,7.926992395823618e-12,10800.0,10800.0
main,2025-05-31,15583.933455091334,1298.841403451549,16882.77485854288,409.7263240522633,10800.0,10800.0
main,2025-06-01,35042.100907454034,85095.31745937985,120137.4183668339,14861.71908588524,10800.0,9823.887635312032
main,2025-06-02,37401.88674448413,51897.35121699542,89299.23796147956,9913.77452149766,9823.887635312032,9783.47192644735
main,2025-06-03,49925.21793949917,102.81954368286694,50028.037483182045,15.249256167902491,9783.47192644735,10800.0
main,2025-06-04,49933.77825059612,3.688630378917423e-11,49933.77825059616,8.498979298110498e-12,10800.0,10800.0
main,2025-06-05,48970.87857659336,279.22853421171124,49250.10711080507,41.4716373402263,10800.0,10800.0
main,2025-06-06,23806.537959052966,2.3798319759293916e-11,23806.537959052992,5.597300400950189e-12,10800.0,10800.0
main,2025-06-07,18113.896798744696,11842.45285881969,29956.349657564388,2522.3154139512776,10800.0,10445.476792238705
main,2025-06-08,54603.39478658736,738.3549574036255,55341.749743990986,109.51689879600227,10445.476792238705,10800.0
main,2025-06-09,50268.89233527436,48.93935727998432,50317.83169255434,7.25618760174978,10800.0,10800.0
main,2025-06-10,52781.06513532265,2.141627897245257e-11,52781.06513532267,4.3653969328261155e-12,10800.0,10800.0
main,2025-06-11,47946.88395581546,22200.88647491186,70147.77043072731,4685.105760500151,10800.0,10800.0
main,2025-06-12,54817.75107887224,3.35635261805578e-11,54817.75107887228,6.4854788206503144e-12,10800.0,10800.0
main,2025-06-13,22421.156462290484,1.972219668133768e-11,22421.156462290503,5.464573238356252e-12,10800.0,10800.0
main,2025-06-14,21161.398545585558,2.4649325691683544e-11,21161.39854558558,7.461586903900752e-12,10800.0,10800.0
main,2025-06-15,52359.479752827036,4.0514509080935574e-11,52359.47975282708,7.820410985459603e-12,10800.0,10800.0
main,2025-06-16,53578.8333095331,2.686649647198891e-11,53578.83330953315,6.41731112693833e-12,10800.0,10800.0
main,2025-06-17,50666.03140041887,2155.6233857798607,52821.65478619873,356.49342384055745,10800.0,10800.0
main,2025-06-18,50443.51125478219,63.27104271294119,50506.78229749514,9.381131694412025,10800.0,10800.0
main,2025-06-19,50367.59993714241,649.3737848391044,51016.9737219815,96.46490027522694,10800.0,10800.0
main,2025-06-20,21333.316954851718,1.9993093958170503e-11,21333.316954851736,4.674594045184222e-12,10800.0,10800.0
main,2025-06-21,20456.533248762305,214.07447404465728,20670.60772280696,53.23532749497295,10800.0,10800.0
main,2025-06-22,45318.74434113279,1820.819966583954,47139.56430771674,416.75889264827083,10800.0,10800.0
main,2025-06-23,46254.122952700505,44.81907507839331,46298.942027778896,6.648727945173692,10800.0,10800.0
main,2025-06-24,45862.034664243896,33046.97517029598,78909.00983453987,6456.009222773405,10800.0,10800.0
main,2025-06-25,54147.62346057409,113.1443721064905,54260.76783268058,16.74763938635785,10800.0,10800.0
main,2025-06-26,47619.12336728828,935.8527338383842,48554.97610112667,138.77282436639376,10800.0,10783.832572509942
main,2025-06-27,20588.849519256455,2.8034032317769685e-11,20588.849519256488,6.978417843583884e-12,10783.832572509942,10800.0
main,2025-06-28,19609.30627104742,2.730460701982906e-11,19609.306271047448,7.154277170684509e-12,10800.0,10800.0
main,2025-06-29,49542.5542783067,3.732642223086558e-11,49542.554278306736,8.134826146033447e-12,10800.0,10800.0
main,2025-06-30,50468.232162286164,87.66194134066085,50555.89410362682,12.99953466917693,10800.0,10800.0
main,2025-07-01,51021.844910063846,14918.237155233975,65940.08206529781,2834.0144954236785,10800.0,10077.079652888162
main,2025-07-02,51682.48702662974,13527.832862391982,65210.31988902171,2796.7310590606,10077.079652888162,9989.045596870477
main,2025-07-03,47817.501984361545,37749.777018120396,85567.27900248193,6718.926932961515,9989.045596870477,10672.503166828003
main,2025-07-04,26775.89315247622,1.586040099255115e-11,26775.893152476234,3.6202152386977104e-12,10672.503166828003,10800.0
main,2025-07-05,20326.683935728157,26038.094925805213,46364.77886153337,5795.170315583014,10800.0,10263.261622027721
main,2025-07-06,48049.1678477857,36126.31785151556,84175.48569930127,6792.6262189102235,10263.261622027721,10800.0
main,2025-07-07,61104.38442398576,1.6748860562354472e-11,61104.384423985764,3.791106317763138e-12,10800.0,10800.0
main,2025-07-08,57796.07125606673,3.039750895439397e-11,57796.07125606676,5.793143742494067e-12,10800.0,10800.0
main,2025-07-09,57769.46368106923,2.9804164691782374e-11,57769.46368106926,5.325073715312101e-12,10800.0,10800.0
main,2025-07-10,56923.892260875,2.398283083238084e-11,56923.89226087501,4.865441383117286e-12,10800.0,10800.0
main,2025-07-11,27560.659152067117,1.9436847020770643e-11,27560.65915206713,3.923528169025303e-12,10800.0,10800.0
main,2025-07-12,26640.98364390307,2.004926402676688e-11,26640.98364390309,5.700329097635404e-12,10800.0,10800.0
main,2025-07-13,53662.19011148165,40.56094935399727,53702.75106083565,6.033610911714687,10800.0,10800.0
main,2025-07-14,55384.583523503214,1.832345830621307e-11,55384.583523503235,4.0110137433657655e-12,10800.0,10800.0
main,2025-07-15,53593.69028478621,2.4464003267610224e-11,53593.69028478624,5.456080032217869e-12,10800.0,10800.0
main,2025-07-16,50999.53830200847,301.9034797783061,51301.441781786765,44.71043343386284,10800.0,10800.0
main,2025-07-17,50722.23330544964,12.715474753594558,50734.948780203245,1.88196177808183,10800.0,10800.0
main,2025-07-18,27366.623457362868,1.976645069845518e-11,27366.623457362883,5.211830966800335e-12,10800.0,10800.0
main,2025-07-19,25958.670815712136,2.2791511788966545e-11,25958.670815712157,5.496492150314225e-12,10800.0,10800.0
main,2025-07-20,50114.47174529124,190.3221154937079,50304.79386078495,27.282413344857137,10800.0,10800.0
main,2025-07-21,49984.36312387705,562.6570578721235,50547.02018174918,94.55547376522532,10800.0,10800.0
main,2025-07-22,51907.942808138934,180.79718774164184,52088.73999588058,26.81956114199393,10800.0,10800.0
main,2025-07-23,52968.45069442609,2.2733178228762086e-11,52968.45069442611,4.591438340639797e-12,10800.0,10800.0
main,2025-07-24,54369.93032470548,4.6109239093539144e-11,54369.930324705536,9.155343150268891e-12,10800.0,10800.0
main,2025-07-25,28564.466209410573,1.8688032454861058e-11,28564.46620941059,5.048406137575512e-12,10800.0,10800.0
main,2025-07-26,26487.577371776315,2.15156022997931e-11,26487.577371776337,5.7058802127585295e-12,10800.0,10800.0
main,2025-07-27,49708.059452642075,2944.418287686827,52652.47774032892,571.9105311408466,10800.0,10800.0
main,2025-07-28,52961.75393487902,93.35813292174949,53055.112067800765,13.842113265885242,10800.0,10800.0
main,2025-07-29,54741.22819717256,324.24769594126803,55065.47589311383,47.98309263428814,10800.0,10800.0
main,2025-07-30,54102.106423013436,2.2013870032422386e-11,54102.10642301345,4.869493697157168e-12,10800.0,10800.0
main,2025-07-31,53976.97537684418,242.54639265225384,54219.52176949643,36.02121032314445,10800.0,10800.0
main,2025-08-01,28404.073468812876,2.2901447849221766e-11,28404.073468812894,5.126565838509123e-12,10800.0,10800.0
main,2025-08-02,27499.812625581042,9.417192359251204e-12,27499.81262558105,2.2168933355715126e-12,10800.0,10800.0
main,2025-08-03,47863.29001996452,3299.0036580164315,51162.29367798095,530.6600097758688,10800.0,10634.098405475685
main,2025-08-04,45504.03098207589,2396.2398048388186,47900.27078691471,380.85007758449933,10634.098405475685,10800.0
main,2025-08-05,45642.48383868278,439.8508005766101,46082.3346392594,65.19932961125637,10800.0,10800.0
main,2025-08-06,43877.47682466095,13441.439654586562,57318.91647924752,2823.070618308254,10800.0,10699.595557123914
main,2025-08-07,46848.823885201724,827.4609259028362,47676.28481110455,122.2177259191766,10699.595557123914,10787.574210794704
main,2025-08-08,26046.12588583774,2.6390478247151353e-11,26046.12588583776,6.437517185986508e-12,10787.574210794704,10800.0
main,2025-08-09,23634.363538515747,765.9113046268112,24400.274843142557,173.24605494551577,10800.0,10800.0
main,2025-08-10,44355.51731232199,2776.660406058002,47132.17771838,411.73674075887726,10800.0,10753.870557074131
main,2025-08-11,44089.785201301784,2179.1926004056895,46268.97780170748,324.29862424122416,10753.870557074131,10716.717943214488
main,2025-08-12,43474.67441973144,16408.951631298318,59883.626051029765,2953.766184605788,10716.717943214488,10735.412183492917
main,2025-08-13,44993.66886887382,512.5253131282153,45506.19418200204,84.97346664992742,10735.412183492917,10800.0
main,2025-08-14,44622.9119558691,2805.965200079495,47428.8771559486,446.2875302634921,10800.0,10800.0
main,2025-08-15,24510.531197902535,2.7994249585105992e-11,24510.531197902565,6.860734202973617e-12,10800.0,10800.0
main,2025-08-16,23030.9064928882,2107.3076759960245,25138.214168884224,362.7704944135691,10800.0,10785.441258766405
main,2025-08-17,43092.07299135905,3494.590459452257,46586.663450811306,520.8266597847996,10785.441258766405,10679.86076000029
main,2025-08-18,44137.462307562935,2163.8309087702714,46301.29321633321,346.16321381306653,10679.86076000029,10800.0
main,2025-08-19,44915.80664440367,1590.461200620614,46506.26784502428,235.8197697935269,10800.0,10775.263194653951
main,2025-08-20,44558.25816077989,26831.19140120018,71389.44956198007,4450.069583688199,10775.263194653951,10762.793451191199
main,2025-08-21,45629.62075078806,1204.3626644961637,46833.98341528422,185.28321909941658,10762.793451191199,10765.475283571814
main,2025-08-22,24017.91326074057,2367.3682698136363,26385.281530554206,374.276668362455,10765.475283571814,10741.857636583816
main,2025-08-23,24290.922030924965,1.4406854820236958e-11,24290.92203092498,4.4497738826976274e-12,10741.857636583816,10800.0
main,2025-08-24,46068.07125646561,3194.322436961884,49262.3936934275,519.8708181197105,10800.0,10704.432318627107
main,2025-08-25,45771.50012674151,18170.807712355967,63942.307839097484,3236.0900499202685,10704.432318627107,10800.0
main,2025-08-26,47966.85067178716,359.0429294999685,48325.89360128712,53.16702576952268,10800.0,10800.0
main,2025-08-27,47891.96716494445,260.9852001264817,48152.95236507092,38.73177150279292,10800.0,10800.0
main,2025-08-28,46923.54890486333,7393.05031907508,54316.599223938414,1229.2100039393545,10800.0,10676.408871063602
main,2025-08-29,25773.364683874308,1.1580056025195518e-11,25773.36468387432,2.7355895326763857e-12,10676.408871063602,10800.0
main,2025-08-30,25688.44920516631,2.6516659978881307e-11,25688.449205166336,6.131983809609665e-12,10800.0,10800.0
main,2025-08-31,48534.60875198778,387.63830718056755,48922.247059168345,56.491346146901215,10800.0,10800.0
main,2025-09-01,46894.97090145126,3.29372156215868e-11,46894.97090145131,6.231459792616079e-12,10800.0,10800.0
main,2025-09-02,36763.4479646969,2268.127355941295,39031.57532063819,349.59743475159087,10800.0,10800.0
main,2025-09-03,38023.48221938843,4446.7386841426105,42470.220903531044,768.3227587060532,10800.0,10728.806715594703
main,2025-09-04,38056.90792386821,3594.0778949752766,41650.98581884349,600.8124079850181,10728.806715594703,10800.0
main,2025-09-05,23219.450436428117,6.924040008016164e-12,23219.450436428127,1.4210854715202004e-12,10800.0,10800.0
main,2025-09-06,18618.52164410602,1317.3416464955085,19935.863290601526,361.8715550371311,10800.0,10800.0
main,2025-09-07,34402.49377093956,17160.149925724156,51562.64369666371,3511.5230636320525,10800.0,10589.982142072553
main,2025-09-08,36060.79868582997,24075.859125176397,60136.65781100638,4596.215707026963,10589.982142072553,10619.22842796672
main,2025-09-09,40134.606526125746,228.98871097335217,40363.595237099085,38.436244171485825,10619.22842796672,10800.0
main,2025-09-10,40265.28555484394,9258.880298092377,49524.16585293633,1578.2206907328407,10800.0,10800.0
main,2025-09-11,41864.29260399025,40.929105000033076,41905.22170899029,6.071666666674195,10800.0,10800.0
main,2025-09-12,19194.100493020265,1.2993780273973243e-11,19194.10049302028,3.481659405224491e-12,10800.0,10800.0
main,2025-09-13,18332.32434296333,16.209092968050825,18348.533435931382,8.730995404275932,10800.0,10800.0
main,2025-09-14,40162.724577434026,1337.4191770660816,41500.1437545001,220.73022208015172,10800.0,10688.65260587345
main,2025-09-15,42931.53705161011,2.217434325046952e-11,42931.537051610125,4.8334669600080815e-12,10688.65260587345,10800.0
main,2025-09-16,42294.64415093587,55.38174766668664,42350.02589860255,8.238266666672146,10800.0,10800.0
main,2025-09-17,42666.27186325942,1.9877646646737636e-11,42666.27186325944,6.000713814735548e-12,10800.0,10800.0
main,2025-09-18,40466.54672994414,178.52875099313684,40645.075480937274,34.98921191301906,10800.0,10753.868246801045
main,2025-09-19,18349.787455851212,995.2421764630964,19345.02963231431,161.3670097471358,10753.868246801045,10800.0
main,2025-09-20,18506.006073029654,129.96027488947198,18635.966347919122,26.853485310940876,10800.0,10800.0
main,2025-09-21,44077.52961313019,3.9758859315952576e-11,44077.529613130224,8.637757176188643e-12,10800.0,10800.0
