策略,日期,计划费用_元,紧急费用_元,总费用_元,紧急电量_kWh,日初电量_kWh,日末电量_kWh
main,2025-02-01,23162.67895921615,2.998143289190125e-11,23162.678959216173,5.893063814710331e-12,10800.0,10800.0
main,2025-02-02,55073.16863194459,2124.444000878423,57197.612632823,316.7074017220231,10800.0,10692.477677050276
main,2025-02-03,55285.882943326455,337.8068014343486,55623.689744760806,48.42414011387262,10692.477677050276,10800.0
main,2025-02-04,53930.255364369616,5552.478558803029,59482.733923172644,1023.0657130672209,10800.0,10760.37401811227
main,2025-02-05,54282.22576117804,3078.8376626865193,57361.063423864565,601.5855973514113,10760.37401811227,10774.664253505598
main,2025-02-06,54526.866274861764,308.2772564541971,54835.14353131595,53.08391576903706,10774.664253505598,10736.106071951157
main,2025-02-07,22278.820613219737,2.0182350013442374e-11,22278.82061321976,4.273914555597003e-12,10736.106071951157,10800.0
main,2025-02-08,20136.146742714976,1325.1797568870493,21461.326499602026,227.61323369822975,10800.0,10800.0
main,2025-02-09,51246.256021415684,8684.08789012903,59930.34391154471,1755.5132987603643,10800.0,10740.241742152255
main,2025-02-10,52887.354097419164,323.86834980775075,53211.222447226915,71.24836805496174,10740.241742152255,10734.880225411369
main,2025-02-11,52207.56305248135,1176.2116192269311,53383.77467170828,207.14066836203926,10734.880225411369,10800.0
main,2025-02-12,49513.11633318415,4334.411531828007,53847.52786501217,858.5410430930373,10800.0,10755.988737551592
main,2025-02-13,50286.12965718528,456.3294522826599,50742.45910946794,78.90420319830449,10755.988737551592,10767.428245645968
main,2025-02-14,18928.639671368015,650.8524411776252,19579.492112545642,106.47021776175964,10767.428245645968,10800.0
main,2025-02-15,19099.898558937988,1084.7403546169016,20184.63891355489,187.29052704513282,10800.0,10772.142599523779
main,2025-02-16,48765.8592169215,5630.854229846403,54396.7134467679,1086.1765734095754,10772.142599523779,10675.770765607956
main,2025-02-17,48750.25466921923,417.61032448586,49167.8649937051,62.51958543393414,10675.770765607956,10756.112712451824
main,2025-02-18,48025.592194333934,592.5033263875064,48618.09552072146,95.53222714152145,10756.112712451824,10800.0
main,2025-02-19,47666.185061188415,5799.778588246833,53465.96364943526,1213.5089123884277,10800.0,10657.772546845541
main,2025-02-20,47801.44490463495,1322.4722270613602,49123.917131696304,240.00105362682226,10657.772546845541,10776.563560589515
main,2025-02-21,18157.850770796467,104.36943746128506,18262.22020825775,19.07078312546533,10776.563560589515,10800.0
main,2025-02-22,18093.62705658948,1211.8631038526057,19305.49016044209,205.47669120944903,10800.0,10800.0
main,2025-02-23,48674.12070740531,410.8743650149836,49084.995072420286,64.75331066430785,10800.0,10728.339977238915
main,2025-02-24,46369.13221084648,2331.7893703721256,48700.9215812186,475.791044717752,10728.339977238915,10780.546846254727
main,2025-02-25,46974.288811216386,400.9860320934198,47375.27484330981,89.7438276242995,10780.546846254727,10800.0
main,2025-02-26,44957.90341268896,3684.002707841915,48641.906120530875,821.8412264511102,10800.0,10800.0
main,2025-02-27,44857.78618230753,3789.4050486444135,48647.19123095193,772.769006655505,10800.0,10800.0
main,2025-02-28,17895.843667027955,3.1038076109268786e-11,17895.843667027988,6.183942247162122e-12,10800.0,10800.0
main,2025-03-01,17814.95719059471,3.2187534693139955e-11,17814.95719059474,7.016054404118677e-12,10800.0,10800.0
main,2025-03-02,46161.33146882143,12272.89965856072,58434.23112738214,2355.7133824657717,10800.0,10697.113380216068
main,2025-03-03,44222.99556103295,21179.6591121292,65402.65467316215,4300.685482602274,10697.113380216068,10761.811442000999
main,2025-03-04,47780.78451318425,2.809039534312774e-11,47780.78451318428,6.355360682164246e-12,10761.811442000999,10800.0
main,2025-03-05,45996.14554108243,67.36906347977643,46063.51460456221,13.066947618155078,10800.0,10800.0
main,2025-03-06,46072.318520928544,5.461669072559516e-11,46072.3185209286,1.1593392912345735e-11,10800.0,10800.0
main,2025-03-07,17650.470797968206,3.148178517875522e-11,17650.47079796824,8.587797140080511e-12,10800.0,10800.0
main,2025-03-08,16595.02207879404,1105.7695290029337,17700.791607796975,353.5370639512244,10800.0,10800.0
main,2025-03-09,43233.156405501606,1563.2567998752475,44796.413205376855,298.54632381424483,10800.0,10741.80895268098
main,2025-03-10,42691.30119922973,9445.740118286683,52137.041317516414,1706.0755370847723,10741.80895268098,10754.424471441225
main,2025-03-11,45002.895939031485,4.717452900537821e-11,45002.895939031536,1.0420664331434182e-11,10754.424471441225,10800.0
main,2025-03-12,43742.24571007279,1344.1115561844247,45086.357266257226,228.53017102503145,10800.0,10789.933481279146
main,2025-03-13,41522.23824239372,18019.642818242042,59541.881060635766,3093.1259850500414,10789.933481279146,10800.0
main,2025-03-14,16588.96004081032,3.3976114588440967e-11,16588.960040810354,9.128864331131581e-12,10800.0,10800.0
main,2025-03-15,16535.890751943585,230.35661622521033,16766.24736816879,48.28124019439732,10800.0,10735.723371365428
main,2025-03-16,42577.07883939627,7.461180000054374,42584.54001939633,1.6400000000130772,10735.723371365428,10651.922426438194
main,2025-03-17,43334.07524590881,3.145893456846238e-11,43334.07524590884,7.040590332962893e-12,10651.922426438194,10800.0
main,2025-03-18,43924.79201757563,3.101060475074746e-11,43924.792017575666,6.139089236967266e-12,10800.0,10800.0
main,2025-03-19,41445.77601791198,833.234412550607,42279.01043046259,173.70166936438707,10800.0,10800.0
main,2025-03-20,43488.85137581065,492.3015113501685,43981.15288716082,70.94584474380856,10800.0,10800.0
main,2025-03-21,16078.279352828555,2.7048261852513633e-11,16078.279352828582,7.2677419638012e-12,10800.0,10800.0
main,2025-03-22,16176.438089371317,2.9690263581017006e-11,16176.438089371348,6.3362648461406934e-12,10800.0,10800.0
main,2025-03-23,40344.638358428005,2573.218048661509,42917.856407089515,496.50656421049115,10800.0,10800.0
main,2025-03-24,38360.10922406985,4879.362753511721,43239.47197758157,990.3432426560682,10800.0,10800.0
main,2025-03-25,38251.87363685008,7879.217571087668,46131.091207937745,1514.9896930352293,10800.0,10766.34567104303
main,2025-03-26,38356.131671410585,3.797483222323095e-11,38356.13167141063,1.0433987007729684e-11,10766.34567104303,10800.0
main,2025-03-27,40478.17253208372,3.712808216427277e-11,40478.17253208376,8.037570609076283e-12,10800.0,10800.0
main,2025-03-28,15509.290180394497,1.745947408871018e-11,15509.290180394515,5.1589843508281774e-12,10800.0,10800.0
main,2025-03-29,15183.665030379167,310.6676523984709,15494.332682777638,52.58491600102129,10800.0,10800.0
main,2025-03-30,37059.61122470195,486.6505822147153,37546.26180691666,104.46754638630868,10800.0,10800.0
main,2025-03-31,36337.0231054537,3957.96853665163,40294.99164210533,732.0578354621772,10800.0,10800.0
main,2025-04-01,36489.67677246301,19078.49663610704,55568.17340857005,3006.4824117840344,10800.0,10800.0
main,2025-04-02,37165.20675613053,12425.409392305111,49590.61614843564,2337.7951296189003,10800.0,10800.0
main,2025-04-03,36574.4973833513,2588.890055908363,39163.38743925966,483.4012203750974,10800.0,10771.17801481101
main,2025-04-04,15061.44634536988,2.0399927302960918e-11,15061.446345369903,4.9609205632350495e-12,10771.17801481101,10800.0
main,2025-04-05,14535.909508710962,644.356693075018,15180.266201785982,133.53517564532874,10800.0,10758.171688535327
main,2025-04-06,36214.139096811916,291.2406236755604,36505.37972048748,56.16110984036937,10758.171688535327,10788.44803810045
main,2025-04-07,36338.62406547459,3.775543311324015e-11,36338.62406547463,8.862910405582625e-12,10788.44803810045,10800.0
main,2025-04-08,38400.66935320108,1489.1455573820033,39889.81491058308,254.0056097168134,10800.0,10800.0
main,2025-04-09,39114.62654737884,352.43166542561977,39467.058212804455,86.36588586156752,10800.0,10800.0
main,2025-04-10,37730.13541827182,859.4838000946179,38589.61921836644,160.11745740992498,10800.0,10800.0
main,2025-04-11,15415.1832949374,2.2534750510061487e-11,15415.18329493742,5.3654858334084565e-12,10800.0,10800.0
main,2025-04-12,14435.561241649619,2.5263666714181455e-11,14435.561241649644,6.192379942149273e-12,10800.0,10800.0
main,2025-04-13,34408.42992442815,5317.611428236994,39726.04135266514,1035.2042828310969,10800.0,10800.0
main,2025-04-14,35445.28329101969,271.0934894144678,35716.37678043416,38.886806887874485,10800.0,10794.755186833321
main,2025-04-15,36031.494241767476,217.02321610896323,36248.51745787644,50.988010764490724,10794.755186833321,10800.0
main,2025-04-16,35182.523073846416,1495.1272705827564,36677.650344429174,331.62446520126764,10800.0,10751.880727696243
main,2025-04-17,34489.84225248789,1271.7163374179854,35761.55858990588,193.8457916781604,10751.880727696243,10800.0
main,2025-04-18,14093.20722258608,2.4656952257728903e-11,14093.207222586105,5.455635943008019e-12,10800.0,10800.0
main,2025-04-19,14110.18043424958,1.4322136754341132e-11,14110.180434249594,3.954503391412345e-12,10800.0,10800.0
main,2025-04-20,34422.69829044625,3.926411928922846e-11,34422.698290446286,8.975487020279616e-12,10800.0,10800.0
main,2025-04-21,34120.59924418881,321.1334647302228,34441.73270891903,61.337029822864615,10800.0,10741.19097082291
main,2025-04-22,34688.62136370182,85.70866440892677,34774.33002811075,23.456120527893063,10741.19097082291,10800.0
main,2025-04-23,34368.216543749346,3.512911185554745e-11,34368.21654374939,8.924944117083555e-12,10800.0,10800.0
main,2025-04-24,33753.00369471348,3.823818195414219e-11,33753.003694713516,8.712142118838528e-12,10800.0,10800.0
main,2025-04-25,12994.147670795623,102.53355973452399,13096.681230530145,21.081647349801127,10800.0,10730.593945760706
main,2025-04-26,12807.613427522287,2226.8695631229007,15034.482990645187,453.635786149631,10730.593945760706,10715.917216271691
main,2025-04-27,32122.64183737137,4699.5478562151275,36822.18969358651,910.36989196607,10715.917216271691,10741.72600541333
main,2025-04-28,31853.05672632863,39543.91630280588,71396.9730291345,6336.735392538254,10741.72600541333,10800.0
main,2025-04-29,34054.755982484174,2747.662023560068,36802.418006044245,511.3940885666049,10800.0,10800.0
main,2025-04-30,33798.30073604586,207.74101661059916,34006.041752656456,44.91809011866842,10800.0,10790.458786939036
main,2025-05-01,32070.99393550024,13430.52081150995,45501.51474701019,2241.5390589117364,10790.458786939036,10240.865631907152
main,2025-05-02,13612.639731278548,12354.603208720178,25967.24293999873,2220.663534676527,10240.865631907152,10437.648156260864
main,2025-05-03,13794.082741345243,8751.604329386853,22545.687070732096,1598.8572477673667,10437.648156260864,10622.755275927768
main,2025-05-04,33571.576122159575,11318.111408931189,44889.68753109076,1856.2238907546969,10622.755275927768,10390.053890668787
main,2025-05-05,36728.143549699744,3081.775057564432,39809.91860726417,498.84945534295144,10390.053890668787,10769.448157047855
main,2025-05-06,37547.66508109069,658.29974111161,38205.964822202295,115.5899983410112,10769.448157047855,10561.394874873531
main,2025-05-07,39083.1418793247,3.2707084818284213e-11,39083.14187932473,6.671996288787341e-12,10561.394874873531,10800.0
main,2025-05-08,39520.703463397476,243.2289326250296,39763.9323960225,35.99925000000657,10800.0,10800.0
main,2025-05-09,18059.608293986028,2.0367075137528443e-11,18059.608293986053,4.224176564093796e-12,10800.0,10800.0
main,2025-05-10,15892.097102351432,2.940187215916268e-11,15892.097102351461,7.510658761589184e-12,10800.0,10800.0
