policy,date,initial_cost,increase_cost,cancellation_refund,cancellation_penalty,adjustment_net,emergency_cost,total_cost,initial_kwh,effective_kwh,increase_kwh,cancel_kwh,emergency_kwh,start_kwh,end_kwh
mask_000,2025-02-01,21459.954562406016,0.0,0.0,0.0,0.0,2.3380358982194593e-11,21459.954562406037,37817.44438078235,37817.44438078235,0.0,0.0,4.220623850414995e-12,10800.0,2554.7046785041457
mask_001,2025-02-01,21459.954562406016,0.0,3616.516857444247,1808.2584287221234,-1808.2584287221234,2.4161042055936833e-11,19651.69613368392,37817.44438078235,32223.72716446689,0.0,5593.717216315457,4.367173289665516e-12,10800.0,2141.8669196710466
mask_010,2025-02-01,21459.954562406016,0.0,3194.363226466774,1597.181613233387,-1597.181613233387,3.073013665755297e-11,19862.77294917266,37817.44438078235,32945.9246516616,0.0,4871.51972912075,5.639932965095795e-12,10800.0,2141.0368269848454
mask_011,2025-02-01,21459.954562406016,0.0,3616.516857444247,1808.2584287221234,-1808.2584287221234,2.4161042055936833e-11,19651.69613368392,37817.44438078235,32223.72716446689,0.0,5593.717216315457,4.367173289665516e-12,10800.0,2141.8669196710466
mask_100,2025-02-01,21459.954562406016,0.0,399.0509819341238,199.5254909670619,-199.5254909670619,2.3093352119474275e-11,21260.429071438975,37817.44438078235,37345.9418492684,0.0,471.50253151395384,4.196643033083092e-12,10800.0,2069.7091478432935
mask_101,2025-02-01,21459.954562406016,0.0,3683.668455685625,1841.8342278428124,-1841.8342278428124,2.433638623955403e-11,19618.12033456323,37817.44438078235,32155.697989873257,0.0,5661.746390909093,4.402700426453521e-12,10800.0,2069.7091478432935
mask_110,2025-02-01,21459.954562406016,0.0,3260.7773786666576,1630.3886893333288,-1630.3886893333288,3.090548084117017e-11,19829.565873072715,37817.44438078235,32878.64256048555,0.0,4938.801820296804,5.6754601018838e-12,10800.0,2069.7091478432935
mask_111,2025-02-01,21459.954562406016,0.0,3683.668455685625,1841.8342278428124,-1841.8342278428124,2.433638623955403e-11,19618.12033456323,37817.44438078235,32155.697989873257,0.0,5661.746390909093,4.402700426453521e-12,10800.0,2069.7091478432935
forecast_only,2025-02-01,21459.954562406016,0.0,0.0,0.0,0.0,2.3380358982194593e-11,21459.954562406037,37817.44438078235,37817.44438078235,0.0,0.0,4.220623850414995e-12,10800.0,2554.7046785041457
mask_000,2025-02-02,57064.45068912812,0.0,0.0,0.0,0.0,246.549847276468,57311.00053640459,89512.89052835727,89512.89052835727,0.0,0.0,35.34258131830313,2554.7046785041457,1346.3360609692118
mask_001,2025-02-02,57262.195270930664,0.0,4044.854717024354,2022.427358512177,-2022.427358512177,1542.3531627267807,56782.12107514527,89971.59914928293,84520.59306880846,0.0,5451.006080474483,264.5445387733029,2141.8669196710466,1207.6262177861954
mask_010,2025-02-02,57262.59288532735,0.0,3598.5203234993883,1799.2601617496941,-1799.2601617496941,1428.9811595419849,56892.313883119634,89972.52147448983,84905.18382432245,0.0,5067.337650167372,247.6233442681096,2141.0368269848454,1207.6262177861954
mask_011,2025-02-02,57262.195270930664,159.85391449787554,4652.047969872278,2326.023984936139,-2166.1700704382633,1428.981159541984,56525.006360034386,89971.59914928293,83658.07839840546,123.64746940569171,6437.168220283178,247.62334426810943,2141.8669196710466,1207.6262177861954
mask_100,2025-02-02,57296.758843636155,0.0,345.06098232959846,172.53049116479923,-172.53049116479923,1363.0552140056113,58487.28356647697,90051.77445131377,89666.71307978698,0.0,385.061371526784,237.7836509044715,2069.7091478432935,1207.6262177861954
mask_101,2025-02-02,57296.758843636155,0.0,4044.854717024354,2022.427358512177,-2022.427358512177,1542.3531627267807,56816.68464785076,90051.77445131377,84600.7683708393,0.0,5451.006080474483,264.5445387733029,2069.7091478432935,1207.6262177861954
mask_110,2025-02-02,57296.758843636155,0.0,3598.5203234993883,1799.2601617496941,-1799.2601617496941,1428.9811595419849,56926.47984142844,90051.77445131377,84984.4368011464,0.0,5067.337650167372,247.6233442681096,2069.7091478432935,1207.6262177861954
mask_111,2025-02-02,57296.758843636155,159.85391449787554,4652.047969872278,2326.023984936139,-2166.1700704382633,1428.981159541984,56559.569932739876,90051.77445131377,83738.2537004363,123.64746940569171,6437.168220283178,247.62334426810943,2069.7091478432935,1207.6262177861954
forecast_only,2025-02-02,57064.45068912812,0.0,0.0,0.0,0.0,246.549847276468,57311.00053640459,89512.89052835727,89512.89052835727,0.0,0.0,35.34258131830313,2554.7046785041457,1346.3360609692118
mask_000,2025-02-03,60608.642338064994,0.0,0.0,0.0,0.0,3.586604352401323e-11,60608.64233806503,95359.56732359497,95359.56732359497,0.0,0.0,6.610823000130495e-12,1346.3360609692118,2157.6769579323636
mask_001,2025-02-03,60675.08435294966,0.0,5290.308051167279,2645.1540255836394,-2645.1540255836394,4.634348643728359e-11,58029.93032736606,95513.6893715761,88459.63437015198,0.0,7054.055001424129,9.202749673420385e-12,1207.6262177861954,1753.6999321229216
mask_010,2025-02-03,60675.08435294966,0.0,4761.471614927233,2380.7358074636163,-2380.7358074636163,4.346645321451348e-11,58294.348545486086,95513.6893715761,88876.17621088133,0.0,6637.513160694787,8.191225475684405e-12,1207.6262177861954,1741.0541193761676
mask_011,2025-02-03,60675.08435294966,51.66172870030952,5834.768991927106,2917.384495963553,-2865.722767263244,4.634348643728359e-11,57809.36158568646,95513.6893715761,87727.27324737719,43.63912982507168,7830.055254024002,9.202749673420385e-12,1207.6262177861954,1753.6999321229216
mask_100,2025-02-03,60675.08435294966,0.0,330.3528731925439,165.17643659627194,-165.17643659627194,3.7805855446215726e-11,60509.907916353426,95513.6893715761,95149.3775794736,0.0,364.3117921024976,6.95221658020273e-12,1207.6262177861954,1837.4718468445828
mask_101,2025-02-03,60675.08435294966,0.0,5290.308051167279,2645.1540255836394,-2645.1540255836394,4.634348643728359e-11,58029.93032736606,95513.6893715761,88459.63437015198,0.0,7054.055001424129,9.202749673420385e-12,1207.6262177861954,1753.6999321229216
mask_110,2025-02-03,60675.08435294966,0.0,4761.471614927233,2380.7358074636163,-2380.7358074636163,4.346645321451348e-11,58294.348545486086,95513.6893715761,88876.17621088133,0.0,6637.513160694787,8.191225475684405e-12,1207.6262177861954,1741.0541193761676
mask_111,2025-02-03,60675.08435294966,51.66172870030952,5834.768991927106,2917.384495963553,-2865.722767263244,4.634348643728359e-11,57809.36158568646,95513.6893715761,87727.27324737719,43.63912982507168,7830.055254024002,9.202749673420385e-12,1207.6262177861954,1753.6999321229216
forecast_only,2025-02-03,60608.642338064994,0.0,0.0,0.0,0.0,3.586604352401323e-11,60608.64233806503,95359.56732359497,95359.56732359497,0.0,0.0,6.610823000130495e-12,1346.3360609692118,2157.6769579323636
mask_000,2025-02-04,60811.00178595441,0.0,0.0,0.0,0.0,1.858126608134114e-11,60811.00178595443,94771.24303114068,94771.24303114068,0.0,0.0,3.4519054281645367e-12,2157.6769579323636,1905.339605438247
mask_001,2025-02-04,61004.50678131713,0.0,4710.229849129455,2355.1149245647275,-2355.1149245647275,3.611671761660773e-11,58649.39185675244,95220.10639315117,89212.09046375587,0.0,6008.015929395296,7.136069513080656e-12,1753.6999321229216,1543.9122453698346
mask_010,2025-02-04,61010.56412562283,0.0,5469.2338911248935,2734.6169455624467,-2734.6169455624467,3.93741643733847e-11,58275.947180060415,95234.15729620312,87979.41051544293,0.0,7254.746780760204,8.107292615022743e-12,1741.0541193761676,1496.129927424552
mask_011,2025-02-04,61004.50678131713,0.0,5900.776478593823,2950.3882392969117,-2950.3882392969117,4.0650974142408813e-11,58054.11854202027,95220.10639315117,87513.61060793113,0.0,7706.495785220048,8.43591863031179e-12,1753.6999321229216,1496.129927424552
