policy,date,issue_hour,slot,interval,old_kwh,new_kwh,increase_kwh,cancel_kwh,increase_cost,refund,penalty,net_adjustment_cost
mask_001,2025-02-01,6,72,11:50-12:00,434.91784665975143,0.0,0.0,434.91784665975143,0.0,192.75558963960182,96.37779481980091,-96.37779481980091
mask_001,2025-02-01,6,73,12:00-12:10,491.64394685847196,0.0,0.0,491.64394685847196,0.0,216.86414495927198,108.43207247963599,-108.43207247963599
mask_001,2025-02-01,6,74,12:10-12:20,510.75827185847197,0.0,0.0,510.75827185847197,0.0,232.4460895227906,116.2230447613953,-116.2230447613953
mask_001,2025-02-01,6,75,12:20-12:30,534.0719528347989,0.0,0.0,534.0719528347989,0.0,238.35631255017074,119.17815627508537,-119.17815627508537
mask_001,2025-02-01,6,76,12:30-12:40,553.3395592241352,0.0,0.0,553.3395592241352,0.0,227.5885607088868,113.7942803544434,-113.7942803544434
mask_001,2025-02-01,6,90,14:50-15:00,149.7722170540544,3.3239981807928722,0.0,146.44821887326154,0.0,98.03243771376127,49.016218856880634,-49.016218856880634
mask_001,2025-02-01,6,91,15:00-15:10,451.6883023055367,59.1539705870903,0.0,392.5343317184464,0.0,259.0726589341746,129.5363294670873,-129.5363294670873
mask_001,2025-02-01,6,92,15:10-15:20,269.19176073503445,104.47726408399508,0.0,164.71449665103938,0.0,118.87445223305512,59.43722611652756,-59.43722611652756
mask_001,2025-02-01,6,93,15:20-15:30,323.65070576190493,149.80307022197678,0.0,173.84763553992815,0.0,127.04785205257949,63.52392602628974,-63.52392602628974
mask_001,2025-02-01,6,94,15:30-15:40,378.31263013989246,195.3318557110754,0.0,182.98077442881706,0.0,137.85771545467077,68.92885772733538,-68.92885772733538
mask_001,2025-02-01,6,95,15:40-15:50,432.826802362115,240.71288904440905,0.0,192.11391331770596,0.0,150.2907143884414,75.1453571942207,-75.1453571942207
mask_001,2025-02-01,6,96,15:50-16:00,476.6158328952209,275.368780688626,0.0,201.2470522065949,0.0,162.1045005524122,81.0522502762061,-81.0522502762061
mask_001,2025-02-01,6,97,16:00-16:10,481.4581378590736,299.3676023191451,0.0,182.0905355399285,0.0,150.60708194507487,75.30354097253743,-75.30354097253743
mask_001,2025-02-01,6,98,16:10-16:20,511.2342142554483,348.3001953821872,0.0,162.9340188732611,0.0,138.8034906781311,69.40174533906556,-69.40174533906556
mask_001,2025-02-01,6,99,16:20-16:30,556.9695150055047,413.1920127989099,0.0,143.77750220659482,0.0,126.3948021898175,63.19740109490875,-63.19740109490875
mask_001,2025-02-01,6,100,16:30-16:40,583.9739735754958,459.3529880355673,0.0,124.62098553992854,0.0,112.4579773512315,56.22898867561575,-56.22898867561575
mask_001,2025-02-01,6,101,16:40-16:50,548.967231494282,443.50276262102085,0.0,105.46446887326118,0.0,96.63709282856922,48.31854641428461,-48.31854641428461
mask_001,2025-02-01,6,102,16:50-17:00,495.2736335999587,408.96568139336387,0.0,86.30795220659485,0.0,79.95568692418946,39.97784346209473,-39.97784346209473
mask_001,2025-02-01,6,103,17:00-17:10,503.6946962089344,420.53457178011723,0.0,83.16012442881714,0.0,78.68610973454679,39.343054867273395,-39.343054867273395
mask_001,2025-02-01,6,104,17:10-17:20,510.26583317706866,430.2535365260295,0.0,80.01229665103915,0.0,77.94797939744234,38.97398969872117,-38.97398969872117
mask_001,2025-02-01,6,105,17:20-17:30,517.9461985107738,441.08172963751235,0.0,76.86446887326144,0.0,75.80373920281043,37.90186960140522,-37.90186960140522
mask_001,2025-02-01,6,106,17:30-17:40,525.4985490190469,451.7819079235631,0.0,73.7166410954838,0.0,71.94744170919218,35.97372085459609,-35.97372085459609
mask_001,2025-02-01,6,107,17:40-17:50,532.8455458183792,273.3310830996619,0.0,259.51446271871725,0.0,278.7704358524461,139.38521792622305,-139.38521792622305
mask_001,2025-02-01,6,125,20:40-20:50,47.6066469991905,0.0,0.0,47.6066469991905,0.0,58.2038866212103,29.10194331060515,-29.10194331060515
mask_001,2025-02-01,6,126,20:50-21:00,518.7846417394642,508.8357411006243,0.0,9.94890063883986,0.0,9.284314076165357,4.642157038082678,-4.642157038082678
mask_001,2025-02-01,6,127,21:00-21:10,504.7254485812744,494.77654794243455,0.0,9.94890063883986,0.0,9.021663099299985,4.510831549649993,-4.510831549649993
mask_001,2025-02-01,6,128,21:10-21:20,487.0676188427588,477.11871820391895,0.0,9.94890063883986,0.0,9.323114788656833,4.661557394328416,-4.661557394328416
mask_001,2025-02-01,6,129,21:20-21:30,493.2175985756262,483.26869793678634,0.0,9.94890063883986,0.0,9.323114788656833,4.661557394328416,-4.661557394328416
