日期,区间,初始购电kWh,有效普通购电kWh,紧急购电kWh
2025-03-20,10:00-10:10,0.0,0.0,0.0
2025-03-20,12:00-12:10,623.7660601755504,551.7618195937046,0.0
2025-03-20,14:00-14:10,0.0,0.0,0.0
2025-03-20,16:00-16:10,707.9960351503662,545.1110498188647,17.150500181135385
2025-03-20,18:00-18:10,701.3503300846015,701.3503300846015,0.0
2025-03-20,20:00-20:10,0.0,0.0,2.2737367544323206e-13
2025-03-20,全天,71451.24608614377,66251.93284758204,92.40422650124452
2025-06-21,10:00-10:10,0.0,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0,0.0
2025-06-21,16:00-16:10,194.57961173187755,124.57629070462083,0.0
2025-06-21,18:00-18:10,0.0,0.0,0.0
2025-06-21,20:00-20:10,0.0,0.0,0.0
2025-06-21,全天,35294.24220435784,34095.2748279308,1.822542117224657e-12
2025-09-23,10:00-10:10,0.0,0.0,8.304468224196171e-14
2025-09-23,12:00-12:10,461.86816460351815,0.0,0.0
2025-09-23,14:00-14:10,0.0,0.0,0.0
2025-09-23,16:00-16:10,653.4180965073662,554.0562133836006,0.0
2025-09-23,18:00-18:10,808.3118087680461,792.7113789921465,0.0
2025-09-23,20:00-20:10,0.0,0.0,0.0
2025-09-23,全天,74580.33822470684,68158.61191650288,108.43229135632522
2025-12-21,10:00-10:10,0.0,0.0,0.0
2025-12-21,12:00-12:10,999.0512675267755,934.796620351342,0.0
2025-12-21,14:00-14:10,0.0,0.0,2.8421709430404007e-13
2025-12-21,16:00-16:10,875.9065926742192,854.3438677210077,0.0
2025-12-21,18:00-18:10,716.9317231482305,706.7837610285519,0.0
2025-12-21,20:00-20:10,0.0,0.0,1.1368683772161603e-13
2025-12-21,全天,98331.99417774609,95546.98177243104,287.556781379694
