日期,区间,充电kWh,放电kWh,时刻,库存kWh
2025-03-20,00:00-04:00,8294.040954698234,48.98883801146822,00:00,1901.347285930005
2025-03-20,04:00-08:00,1774.8387104569674,5782.064635207716,24:00,1403.3510408247791
2025-03-20,08:00-12:00,4232.011284800175,2777.3772166666663,,
2025-03-20,12:00-16:00,5722.931480202513,249.47920630803202,,
2025-03-20,16:00-20:00,455.98740405131105,5434.446592273888,,
2025-03-20,20:00-24:00,356.94645336828046,3033.612725064694,,
2025-06-21,00:00-04:00,505.21959368933415,102.85513253870144,00:00,2887.8602867885975
2025-06-21,04:00-08:00,1411.7096376445681,1719.953966666666,24:00,2533.4412857167586
2025-06-21,08:00-12:00,9124.71872063601,0.0,,
2025-06-21,12:00-16:00,0.0,0.0,,
2025-06-21,16:00-20:00,88.70315238877885,5639.402233333335,,
2025-06-21,20:00-24:00,773.7280818633842,2499.0699092658347,,
2025-09-23,00:00-04:00,9018.797173862204,0.0,00:00,1584.9501790589343
2025-09-23,04:00-08:00,1342.865456755332,6135.334758757814,24:00,1568.5137538196002
2025-09-23,08:00-12:00,6034.627470129318,1896.6157166666662,,
2025-09-23,12:00-16:00,4256.944752263156,414.16075799527584,,
2025-09-23,16:00-20:00,182.99048100684354,5809.521829937943,,
2025-09-23,20:00-24:00,493.8572404313081,3036.5266046607117,,
2025-12-21,00:00-04:00,8994.404250269934,124.84239222663629,00:00,1437.0332255577723
2025-12-21,04:00-08:00,2436.714022390745,1541.0266449638418,24:00,1433.8289156406672
2025-12-21,08:00-12:00,5289.876209612945,7806.666666666667,,
2025-12-21,12:00-16:00,8011.496365547023,2134.1117858795715,,
2025-12-21,16:00-20:00,18.421060321817396,5840.671404310791,,
2025-12-21,20:00-24:00,327.280321537919,2868.900690918995,,
