strategy,day,date,initial_cost,increase_cost,refund,penalty,adjustment_net,emergency_cost,total_cost,initial_kwh,effective_kwh,increase_kwh,cancel_kwh,emergency_kwh,charge_kwh,discharge_kwh,spill_kwh,E_start,E_end
A42,31,2025-02-01,17738.562184082475,0.0,0.0,0.0,0.0,2.1527245319674648e-11,17738.562184082497,39746.304055747685,39746.304055747685,0.0,0.0,4.3938186422565195e-12,9232.740834557157,14810.532875895897,10945.920163753093,10800.0,2653.3191112171103
B42,31,2025-02-01,17738.562184082475,0.0,0.0,0.0,0.0,2.1527245319674648e-11,17738.562184082497,39746.304055747685,39746.304055747685,0.0,0.0,4.3938186422565195e-12,9232.740834557157,14810.532875895897,10945.920163753093,10800.0,2653.3191112171103
B43,31,2025-02-01,17690.727292997726,0.0,2899.9480593022527,1449.9740296511263,-1449.9740296511263,2.178285241072331e-11,16240.753263346622,37744.75872827521,32465.568403193207,0.0,5279.190325081998,4.333422509716911e-12,8898.62212815576,15065.1456907472,4253.916032451316,10800.0,2069.7091478432935
A43_000,31,2025-02-01,17690.727292997726,0.0,0.0,0.0,0.0,2.467078275003587e-11,17690.72729299775,37744.75872827521,37744.75872827521,0.0,0.0,4.82458517581108e-12,9061.304623224421,14760.42253415805,9065.700705875504,10800.0,2554.704678504147
A43_001,31,2025-02-01,17690.727292997726,0.0,2842.1436696500423,1421.0718348250211,-1421.0718348250211,2.1450790921306863e-11,16269.655458172727,37744.75872827521,32533.597577786844,0.0,5211.161150488364,4.2552628087833e-12,8914.87044367501,15013.364831672816,4253.916032451316,10800.0,2141.8669196710453
A43_010,31,2025-02-01,17690.727292997726,0.0,2472.857444635515,1236.4287223177575,-1236.4287223177575,2.7009856129467382e-11,16454.298570679992,37744.75872827521,33383.99727101294,0.0,4360.761457262275,5.5848659030743875e-12,8899.390311548143,15001.573008067635,5108.0040341990925,10800.0,2141.036826984846
A43_011,31,2025-02-01,17690.727292997726,0.0,2842.1436696500423,1421.0718348250211,-1421.0718348250211,2.1450790921306863e-11,16269.655458172727,37744.75872827521,32533.597577786844,0.0,5211.161150488364,4.2552628087833e-12,8914.87044367501,15013.364831672816,4253.916032451316,10800.0,2141.8669196710453
A43_100,31,2025-02-01,17690.727292997726,0.0,341.9572860527617,170.97864302638084,-170.97864302638084,2.0411607959402998e-11,17519.748649971367,37744.75872827521,37273.25619676126,0.0,471.5025315139539,4.084732552200876e-12,8877.059602597124,15047.680045044706,9065.700705875504,10800.0,2069.7091478432935
A43_101,31,2025-02-01,17690.727292997726,0.0,2899.9480593022527,1449.9740296511263,-1449.9740296511263,2.178285241072331e-11,16240.753263346622,37744.75872827521,32465.568403193207,0.0,5279.190325081998,4.333422509716911e-12,8898.62212815576,15065.1456907472,4253.916032451316,10800.0,2069.7091478432935
A43_110,31,2025-02-01,17690.727292997726,0.0,2530.027037507809,1265.0135187539045,-1265.0135187539045,2.7402292435141362e-11,16425.71377424385,37744.75872827521,33316.71517983688,0.0,4428.04354843833,5.6772364587232005e-12,8883.141996028891,15052.606783724439,5108.0040341990925,10800.0,2069.7091478432935
A43_111,31,2025-02-01,17690.727292997726,0.0,2899.9480593022527,1449.9740296511263,-1449.9740296511263,2.178285241072331e-11,16240.753263346622,37744.75872827521,32465.568403193207,0.0,5279.190325081998,4.333422509716911e-12,8898.62212815576,15065.1456907472,4253.916032451316,10800.0,2069.7091478432935
A43_update_only,31,2025-02-01,17690.727292997726,0.0,0.0,0.0,0.0,2.467078275003587e-11,17690.72729299775,37744.75872827521,37744.75872827521,0.0,0.0,4.82458517581108e-12,9061.304623224421,14760.42253415805,9065.700705875504,10800.0,2554.704678504147
A43_adjust_only,31,2025-02-01,17690.727292997726,0.0,1461.593124631113,730.7965623155565,-730.7965623155565,2.2514231812209572e-11,16959.930730682194,37744.75872827521,34945.021968997855,0.0,2799.7367592773558,4.567901612517744e-12,8877.059602597123,15047.680045044708,6737.466478112104,10800.0,2069.7091478432926
A42,32,2025-02-02,62298.75690987249,0.0,0.0,0.0,0.0,1234.6753336909405,63533.43224356343,88519.89685179938,88519.89685179938,0.0,0.0,205.01394690262515,20944.874417123534,18103.682691407274,7527.441122985729,2653.3191112171103,1388.503096175762
B42,32,2025-02-02,62298.75690987249,0.0,0.0,0.0,0.0,1230.996033320278,63529.75294319277,88519.89685179938,88519.89685179938,0.0,0.0,205.01394690262492,20944.874417123534,18103.682691407274,7527.441122985729,2653.3191112171103,1388.503096175762
B43,32,2025-02-02,63769.29747710562,178.63673648558984,5457.998356680699,2728.9991783403493,-2550.3624418547597,1354.0254100470356,62572.9604452979,90051.77445131377,83946.46670786769,119.84548858230892,6225.15323202841,258.6318932388307,22241.748278504965,18791.690742640414,2398.763115241943,2069.7091478432935,1207.6262177861954
