day,source,joint,issue,atoms,fallback_state,fallback_all
31,42,True,0,7,190,0
31,42,False,0,7,5,0
31,43,False,0,7,7,0
31,43,False,1,7,1,0
31,43,False,2,7,0,0
31,43,False,3,7,0,0
31,43,True,0,7,141,0
31,43,True,1,7,66,0
31,43,True,2,7,56,0
31,43,True,3,7,25,0
32,42,True,0,7,177,0
32,42,False,0,7,5,0
32,43,False,0,7,6,0
32,43,False,1,7,0,0
32,43,False,2,7,0,0
32,43,False,3,7,0,0
32,43,True,0,7,108,0
32,43,True,1,7,59,0
32,43,True,2,7,56,0
32,43,True,3,7,22,0
33,42,True,0,7,177,0
33,42,False,0,7,5,0
33,43,False,0,7,6,0
33,43,False,1,7,0,0
33,43,False,2,7,0,0
33,43,False,3,7,0,0
33,43,True,0,7,107,0
33,43,True,1,7,58,0
33,43,True,2,7,56,0
33,43,True,3,7,18,0
34,42,True,0,7,174,0
34,42,False,0,7,5,0
34,43,False,0,7,6,0
34,43,False,1,7,0,0
34,43,False,2,7,0,0
34,43,False,3,7,0,0
34,43,True,0,7,106,0
34,43,True,1,7,57,0
34,43,True,2,7,55,0
34,43,True,3,7,17,0
35,42,True,0,7,159,0
35,42,False,0,7,5,0
35,43,False,0,7,6,0
35,43,False,1,7,0,0
35,43,False,2,7,0,0
35,43,False,3,7,0,0
35,43,True,0,7,96,0
35,43,True,1,7,56,0
35,43,True,2,7,52,0
35,43,True,3,7,16,0
36,42,True,0,7,151,0
36,42,False,0,7,5,0
36,43,False,0,7,5,0
36,43,False,1,7,0,0
36,43,False,2,7,0,0
36,43,False,3,7,0,0
36,43,True,0,7,85,0
36,43,True,1,7,50,0
36,43,True,2,7,46,0
36,43,True,3,7,10,0
37,42,True,0,7,151,0
37,42,False,0,7,5,0
37,43,False,0,7,5,0
37,43,False,1,7,0,0
37,43,False,2,7,0,0
37,43,False,3,7,0,0
37,43,True,0,7,84,0
37,43,True,1,7,50,0
37,43,True,2,7,46,0
37,43,True,3,7,10,0
38,42,True,0,7,134,0
38,42,False,0,7,2,0
38,43,False,0,7,5,0
38,43,False,1,7,0,0
38,43,False,2,7,0,0
38,43,False,3,7,0,0
38,43,True,0,7,83,0
38,43,True,1,7,50,0
38,43,True,2,7,39,0
38,43,True,3,7,10,0
39,42,True,0,7,132,0
39,42,False,0,7,2,0
39,43,False,0,7,5,0
39,43,False,1,7,0,0
39,43,False,2,7,0,0
39,43,False,3,7,0,0
39,43,True,0,7,69,0
39,43,True,1,7,46,0
39,43,True,2,7,27,0
39,43,True,3,7,10,0
40,42,True,0,7,131,0
40,42,False,0,7,2,0
40,43,False,0,7,5,0
40,43,False,1,7,0,0
40,43,False,2,7,0,0
40,43,False,3,7,0,0
40,43,True,0,7,69,0
40,43,True,1,7,45,0
40,43,True,2,7,27,0
40,43,True,3,7,9,0
41,42,True,0,7,131,0
41,42,False,0,7,2,0
41,43,False,0,7,5,0
41,43,False,1,7,0,0
41,43,False,2,7,0,0
41,43,False,3,7,0,0
41,43,True,0,7,69,0
41,43,True,1,7,45,0
41,43,True,2,7,27,0
41,43,True,3,7,9,0
42,42,True,0,7,129,0
42,42,False,0,7,1,0
42,43,False,0,7,5,0
42,43,False,1,7,0,0
42,43,False,2,7,0,0
42,43,False,3,7,0,0
42,43,True,0,7,69,0
42,43,True,1,7,45,0
42,43,True,2,7,27,0
42,43,True,3,7,9,0
43,42,True,0,7,125,0
43,42,False,0,7,1,0
43,43,False,0,7,5,0
43,43,False,1,7,0,0
43,43,False,2,7,0,0
43,43,False,3,7,0,0
43,43,True,0,7,65,0
43,43,True,1,7,41,0
43,43,True,2,7,25,0
43,43,True,3,7,8,0
44,42,True,0,7,125,0
44,42,False,0,7,1,0
44,43,False,0,7,5,0
44,43,False,1,7,0,0
44,43,False,2,7,0,0
44,43,False,3,7,0,0
44,43,True,0,7,62,0
44,43,True,1,7,41,0
44,43,True,2,7,25,0
44,43,True,3,7,8,0
45,42,True,0,7,111,0
45,42,False,0,7,1,0
45,43,False,0,7,1,0
45,43,False,1,7,0,0
45,43,False,2,7,0,0
45,43,False,3,7,0,0
45,43,True,0,7,55,0
45,43,True,1,7,41,0
45,43,True,2,7,25,0
45,43,True,3,7,8,0
46,42,True,0,7,103,0
46,42,False,0,7,1,0
46,43,False,0,7,1,0
46,43,False,1,7,0,0
46,43,False,2,7,0,0
46,43,False,3,7,0,0
46,43,True,0,7,51,0
46,43,True,1,7,41,0
46,43,True,2,7,21,0
46,43,True,3,7,8,0
47,42,True,0,7,100,0
47,42,False,0,7,1,0
47,43,False,0,7,1,0
47,43,False,1,7,0,0
47,43,False,2,7,0,0
47,43,False,3,7,0,0
47,43,True,0,7,49,0
47,43,True,1,7,41,0
47,43,True,2,7,21,0
47,43,True,3,7,8,0
48,42,True,0,7,99,0
48,42,False,0,7,1,0
48,43,False,0,7,1,0
48,43,False,1,7,0,0
48,43,False,2,7,0,0
48,43,False,3,7,0,0
