strategy,date,interval,initial_kwh,ordinary_kwh,initial_daily_kwh,ordinary_daily_kwh,total_cost
A42,2025-03-20,10:00-10:10,0.0,0.0,71228.47123717499,71228.47123717499,44919.43724799906
A42,2025-03-20,12:00-12:10,846.6925202311204,846.6925202311204,71228.47123717499,71228.47123717499,44919.43724799906
A42,2025-03-20,14:00-14:10,0.0,0.0,71228.47123717499,71228.47123717499,44919.43724799906
A42,2025-03-20,16:00-16:10,534.1934837421668,534.1934837421668,71228.47123717499,71228.47123717499,44919.43724799906
A42,2025-03-20,18:00-18:10,0.0,0.0,71228.47123717499,71228.47123717499,44919.43724799906
A42,2025-03-20,20:00-20:10,738.6596550529197,738.6596550529197,71228.47123717499,71228.47123717499,44919.43724799906
A42,2025-06-21,10:00-10:10,0.0,0.0,34556.52634715302,34556.52634715302,17607.46228378692
A42,2025-06-21,12:00-12:10,0.0,0.0,34556.52634715302,34556.52634715302,17607.46228378692
A42,2025-06-21,14:00-14:10,0.0,0.0,34556.52634715302,34556.52634715302,17607.46228378692
A42,2025-06-21,16:00-16:10,153.94515888168596,153.94515888168596,34556.52634715302,34556.52634715302,17607.46228378692
A42,2025-06-21,18:00-18:10,479.13093185151365,479.13093185151365,34556.52634715302,34556.52634715302,17607.46228378692
A42,2025-06-21,20:00-20:10,0.0,0.0,34556.52634715302,34556.52634715302,17607.46228378692
A42,2025-09-23,10:00-10:10,0.0,0.0,68815.58898037663,68815.58898037663,45762.17828352379
A42,2025-09-23,12:00-12:10,502.62517158700183,502.62517158700183,68815.58898037663,68815.58898037663,45762.17828352379
A42,2025-09-23,14:00-14:10,0.0,0.0,68815.58898037663,68815.58898037663,45762.17828352379
A42,2025-09-23,16:00-16:10,517.9549657733999,517.9549657733999,68815.58898037663,68815.58898037663,45762.17828352379
A42,2025-09-23,18:00-18:10,14.614115319713392,14.614115319713392,68815.58898037663,68815.58898037663,45762.17828352379
A42,2025-09-23,20:00-20:10,0.0,0.0,68815.58898037663,68815.58898037663,45762.17828352379
A42,2025-12-21,10:00-10:10,0.0,0.0,96591.81972844368,96591.81972844368,72969.93767349342
A42,2025-12-21,12:00-12:10,978.9173194191446,978.9173194191446,96591.81972844368,96591.81972844368,72969.93767349342
A42,2025-12-21,14:00-14:10,0.0,0.0,96591.81972844368,96591.81972844368,72969.93767349342
A42,2025-12-21,16:00-16:10,818.0491764683981,818.0491764683981,96591.81972844368,96591.81972844368,72969.93767349342
A42,2025-12-21,18:00-18:10,713.3830157731576,713.3830157731576,96591.81972844368,96591.81972844368,72969.93767349342
A42,2025-12-21,20:00-20:10,0.0,0.0,96591.81972844368,96591.81972844368,72969.93767349342
A43_111,2025-03-20,10:00-10:10,0.0,0.0,71312.64231935077,66046.31871068894,45600.14024145914
A43_111,2025-03-20,12:00-12:10,623.7660601755504,551.7618195937046,71312.64231935077,66046.31871068894,45600.14024145914
A43_111,2025-03-20,14:00-14:10,0.0,0.0,71312.64231935077,66046.31871068894,45600.14024145914
A43_111,2025-03-20,16:00-16:10,707.9960351503663,545.1110498188647,71312.64231935077,66046.31871068894,45600.14024145914
A43_111,2025-03-20,18:00-18:10,0.0,0.0,71312.64231935077,66046.31871068894,45600.14024145914
A43_111,2025-03-20,20:00-20:10,739.9601475702574,739.9601475702574,71312.64231935077,66046.31871068894,45600.14024145914
A43_111,2025-06-21,10:00-10:10,0.0,0.0,35303.77721849311,34912.220492812805,18148.456167368124
A43_111,2025-06-21,12:00-12:10,0.0,0.0,35303.77721849311,34912.220492812805,18148.456167368124
A43_111,2025-06-21,14:00-14:10,0.0,0.0,35303.77721849311,34912.220492812805,18148.456167368124
A43_111,2025-06-21,16:00-16:10,194.57961173187755,124.57629070462083,35303.77721849311,34912.220492812805,18148.456167368124
A43_111,2025-06-21,18:00-18:10,496.2210456986674,491.42897399592516,35303.77721849311,34912.220492812805,18148.456167368124
A43_111,2025-06-21,20:00-20:10,0.0,0.0,35303.77721849311,34912.220492812805,18148.456167368124
A43_111,2025-09-23,10:00-10:10,0.0,0.0,74206.54812570714,67736.89581965297,47316.57892476446
A43_111,2025-09-23,12:00-12:10,461.8681646035181,0.0,74206.54812570714,67736.89581965297,47316.57892476446
A43_111,2025-09-23,14:00-14:10,0.0,0.0,74206.54812570714,67736.89581965297,47316.57892476446
A43_111,2025-09-23,16:00-16:10,653.4180965073662,554.0562133836006,74206.54812570714,67736.89581965297,47316.57892476446
A43_111,2025-09-23,18:00-18:10,0.0,0.0,74206.54812570714,67736.89581965297,47316.57892476446
A43_111,2025-09-23,20:00-20:10,0.0,0.0,74206.54812570714,67736.89581965297,47316.57892476446
A43_111,2025-12-21,10:00-10:10,0.0,0.0,98239.83146388343,94748.78246715202,75585.66002658076
A43_111,2025-12-21,12:00-12:10,999.0512675267755,925.3592898965302,98239.83146388343,94748.78246715202,75585.66002658076
A43_111,2025-12-21,14:00-14:10,0.0,0.0,98239.83146388343,94748.78246715202,75585.66002658076
A43_111,2025-12-21,16:00-16:10,875.9065926742192,850.0277497858332,98239.83146388343,94748.78246715202,75585.66002658076
A43_111,2025-12-21,18:00-18:10,716.9317231482305,706.7837610285519,98239.83146388343,94748.78246715202,75585.66002658076
A43_111,2025-12-21,20:00-20:10,0.0,0.0,98239.83146388343,94748.78246715202,75585.66002658076
