strategy,date,interval,charge_kwh,discharge_kwh,E_start,E_end
A42,2025-03-20,00:00-04:00,7657.770121419456,28.42220813681488,2230.634309884407,1587.5406250853564
A42,2025-03-20,04:00-08:00,2122.5648782881835,5071.51018585159,2230.634309884407,1587.5406250853564
A42,2025-03-20,08:00-12:00,6303.648454085872,2777.3772166666668,2230.634309884407,1587.5406250853564
A42,2025-03-20,12:00-16:00,3477.08014508604,399.12982357113435,2230.634309884407,1587.5406250853564
A42,2025-03-20,16:00-20:00,83.80956094730016,7167.004869856955,2230.634309884407,1587.5406250853564
A42,2025-03-20,20:00-24:00,502.51009112539305,1454.720445507305,2230.634309884407,1587.5406250853564
A42,2025-06-21,00:00-04:00,463.0861449066159,96.03447691326892,2739.3858060520643,2856.975415661601
A42,2025-06-21,04:00-08:00,1423.4842364252127,1719.953966666666,2739.3858060520643,2856.975415661601
A42,2025-06-21,08:00-12:00,9311.628653400367,0.0,2739.3858060520643,2856.975415661601
A42,2025-06-21,12:00-16:00,0.0,0.0,2739.3858060520643,2856.975415661601
A42,2025-06-21,16:00-20:00,0.0,5524.380174430475,2739.3858060520643,2856.975415661601
A42,2025-06-21,20:00-24:00,1063.6476936533927,2485.896583333333,2739.3858060520643,2856.975415661601
A42,2025-09-23,00:00-04:00,6624.821598946074,0.5543007199982185,2358.631220527718,2430.374545776018
A42,2025-09-23,04:00-08:00,2950.04733454475,6186.958326544407,2358.631220527718,2430.374545776018
A42,2025-09-23,08:00-12:00,5307.804896711563,1896.6157166666662,2358.631220527718,2430.374545776018
A42,2025-09-23,12:00-16:00,4637.924787726849,487.89782327650937,2358.631220527718,2430.374545776018
A42,2025-09-23,16:00-20:00,386.78652298133477,5765.7879072943715,2358.631220527718,2430.374545776018
A42,2025-09-23,20:00-24:00,876.0397081416909,2432.1910605069147,2358.631220527718,2430.374545776018
A42,2025-12-21,00:00-04:00,9953.19548553708,78.56692718603918,1888.0516736442046,1621.1598750377284
A42,2025-12-21,04:00-08:00,158.44710524284983,842.5718924039647,1888.0516736442046,1621.1598750377284
A42,2025-12-21,08:00-12:00,5892.205574430758,7194.590995013592,1888.0516736442046,1621.1598750377284
A42,2025-12-21,12:00-16:00,6771.427344713393,2324.794735706821,1888.0516736442046,1621.1598750377284
A42,2025-12-21,16:00-20:00,86.61418064573267,5780.4970627125285,1888.0516736442046,1621.1598750377284
A42,2025-12-21,20:00-24:00,410.8095045517272,2870.0673537713287,1888.0516736442046,1621.1598750377284
A43_111,2025-03-20,00:00-04:00,7640.668145612515,53.63662127634734,2064.6052208897845,1403.3510408247794
A43_111,2025-03-20,04:00-08:00,2252.551818062534,5782.064635207715,2064.6052208897845,1403.3510408247794
A43_111,2025-03-20,08:00-12:00,4232.011284800175,2777.3772166666668,2064.6052208897845,1403.3510408247794
A43_111,2025-03-20,12:00-16:00,5722.931480202513,249.47920630803202,2064.6052208897845,1403.3510408247794
A43_111,2025-03-20,16:00-20:00,322.04273411237637,6982.141988228298,2064.6052208897845,1403.3510408247794
A43_111,2025-03-20,20:00-24:00,356.94645336828063,1377.422146459747,2064.6052208897845,1403.3510408247794
A43_111,2025-06-21,00:00-04:00,458.6212537654619,102.85513253870103,2879.2787740668637,3077.2338961741543
A43_111,2025-06-21,04:00-08:00,1467.8429917037004,1719.953966666666,2879.2787740668637,3077.2338961741543
A43_111,2025-06-21,08:00-12:00,9124.71872063601,0.0,2879.2787740668637,3077.2338961741543
A43_111,2025-06-21,12:00-16:00,0.0,0.0,2879.2787740668637,3077.2338961741543
A43_111,2025-06-21,16:00-20:00,0.0,5392.971894822244,2879.2787740668637,3077.2338961741543
A43_111,2025-06-21,20:00-24:00,1146.1468947065641,2485.896583333333,2879.2787740668637,3077.2338961741543
A43_111,2025-09-23,00:00-04:00,7141.755609434684,0.0,1952.239403200695,1568.5137538196004
A43_111,2025-09-23,04:00-08:00,2811.807883247564,6135.334758757814,1952.239403200695,1568.5137538196004
A43_111,2025-09-23,08:00-12:00,6034.627470129319,1896.6157166666662,1952.239403200695,1568.5137538196004
A43_111,2025-09-23,12:00-16:00,4256.944752263155,414.16075799527584,1952.239403200695,1568.5137538196004
A43_111,2025-09-23,16:00-20:00,108.31807158350557,6236.866626126211,1952.239403200695,1568.5137538196004
A43_111,2025-09-23,20:00-24:00,493.85724043130847,2548.697156839541,1952.239403200695,1568.5137538196004
A43_111,2025-12-21,00:00-04:00,10449.149568382156,116.53354985639326,1437.033225557772,1264.5429888586898
A43_111,2025-12-21,04:00-08:00,164.84144400358758,887.4624065113861,1437.033225557772,1264.5429888586898
A43_111,2025-12-21,08:00-12:00,5289.876209612945,7806.666666666668,1437.033225557772,1264.5429888586898
A43_111,2025-12-21,12:00-16:00,8350.60634574387,2408.790869839021,1437.033225557772,1264.5429888586898
A43_111,2025-12-21,16:00-20:00,19.158671627245894,5841.866334625586,1437.033225557772,1264.5429888586898
A43_111,2025-12-21,20:00-24:00,217.08524441788722,2931.4025473981524,1437.033225557772,1264.5429888586898
